Crop,Current_N,Current_P,Current_K,Required_N,Required_P,Required_K
Potato,83,113,138,67,0,0
Gram,28,6,7,0,54,13
Cotton,20,9,22,100,51,38
Cotton,55,84,4,65,0,56
Arhar/Tur,6,15,40,14,65,0
Potato,183,112,103,0,0,17
Mustard,117,29,28,0,11,12
Gram,26,87,4,0,0,16
Gram,22,69,21,0,0,0
Arhar/Tur,19,87,43,1,0,0
Cotton,21,61,53,99,0,7
Mustard,4,2,43,76,38,0
Lentil,14,88,10,6,0,10
Soyabean,10,21,39,10,59,1
Lentil,20,34,3,0,26,17
Gram,26,23,0,0,37,20
Groundnut,22,72,8,3,0,32
Maize,40,30,20,110,45,30
Gram,17,4,22,3,56,0
Cotton,1,52,87,119,8,0
Soyabean,0,0,7,20,80,33
Groundnut,22,49,39,3,11,1
Paddy,63,54,6,57,6,54
Wheat,158,20,51,0,40,0
Soyabean,11,28,1,9,52,39
Soyabean,29,34,57,0,46,0
Groundnut,23,84,6,2,0,34
Mustard,47,38,50,33,2,0
Gram,25,82,25,0,0,0
Wheat,57,54,9,63,6,31
Lentil,6,15,18,14,45,2
Maize,86,104,61,64,0,0
Paddy,86,12,32,34,48,28
Potato,60,15,8,90,65,112
Soyabean,8,87,46,12,0,0
Cotton,83,42,33,37,18,27
Gram,8,37,18,12,23,2
Arhar/Tur,29,44,43,0,36,0
Paddy,73,64,48,47,0,12
Mustard,45,50,54,35,0,0
Cotton,122,66,0,0,0,60
Groundnut,18,68,37,7,0,3
Wheat,58,35,30,62,25,10
Cotton,132,44,69,0,16,0
Sugarcane,140,112,72,135,0,0
Soyabean,1,95,51,19,0,0
Wheat,138,71,35,0,0,5
Groundnut,1,38,23,24,22,17
Paddy,65,68,43,55,0,17
Soyabean,19,108,57,1,0,0
Gram,18,48,10,2,12,10
Cotton,141,33,1,0,27,59
Mustard,20,16,25,60,24,15
Paddy,25,79,59,95,0,1
Gram,7,61,27,13,0,0
Wheat,106,10,41,14,50,0
Soyabean,19,53,38,1,27,2
Sugarcane,119,18,10,156,67,50
Wheat,5,44,16,115,16,24
Maize,177,39,33,0,36,17
Groundnut,2,80,28,23,0,12
Cotton,110,46,73,10,14,0
Wheat,94,80,55,26,0,0
Gram,16,9,3,4,51,17
Lentil,11,37,10,9,23,10
Groundnut,14,62,6,11,0,34
Groundnut,34,16,4,0,44,36
Soyabean,14,34,14,6,46,26
Lentil,29,60,17,0,0,3
Arhar/Tur,24,4,39,0,76,1
Arhar/Tur,6,55,1,14,25,39
Gram,8,23,0,12,37,20
Soyabean,20,1,10,0,79,30
Gram,6,49,16,14,11,4
Paddy,132,0,64,0,60,0
Lentil,15,35,12,5,25,8
Groundnut,13,50,58,12,10,0
Soyabean,21,19,53,0,61,0
Maize,219,56,23,0,19,27
Soyabean,5,47,16,15,33,24
Maize,81,28,67,69,47,0
Maize,204,77,53,0,0,0
Sugarcane,41,82,85,234,3,0
Lentil,24,7,14,0,53,6
Wheat,88,15,33,32,45,7
Paddy,90,76,57,30,0,3
Arhar/Tur,10,94,15,10,0,25
Lentil,22,26,4,0,34,16
Lentil,9,29,23,11,31,0
Gram,25,4,21,0,56,0
Cotton,141,69,1,0,0,59
Paddy,77,59,5,43,1,55
Sugarcane,383,26,67,0,59,0
Cotton,38,67,27,82,0,33
Arhar/Tur,22,30,45,0,50,0
Potato,186,11,29,0,69,91
Paddy,11,88,5,109,0,55
Soyabean,29,85,13,0,0,27
Cotton,12,21,41,108,39,19
Lentil,13,78,6,7,0,14
Cotton,25,46,42,95,14,18
Cotton,123,11,26,0,49,34
Maize,145,67,25,5,8,25
Potato,45,18,124,105,62,0
Arhar/Tur,9,23,16,11,57,24
Arhar/Tur,10,26,26,10,54,14
Mustard,51,23,36,29,17,4
Mustard,18,45,30,62,0,10
Soyabean,17,0,17,3,80,23
Paddy,139,73,19,0,0,41
Sugarcane,106,14,64,169,71,0
Potato,193,69,52,0,11,68
Paddy,134,32,18,0,28,42
Soyabean,21,111,44,0,0,0
Soyabean,10,63,10,10,17,30
Soyabean,22,99,30,0,0,10
Gram,25,84,19,0,0,1
Maize,201,20,27,0,55,23
Potato,98,77,170,52,3,0
Wheat,133,80,48,0,0,0
Groundnut,17,22,51,8,38,0
Maize,109,6,56,41,69,0
Paddy,91,34,8,29,26,52
Wheat,123,53,4,0,7,36
Arhar/Tur,8,37,30,12,43,10
Maize,156,8,24,0,67,26
Arhar/Tur,17,118,47,3,0,0
Sugarcane,74,100,3,201,0,57
Mustard,111,24,27,0,16,13
Mustard,47,18,30,33,22,10
Cotton,166,84,13,0,0,47
Mustard,83,11,35,0,29,5
Sugarcane,137,1,5,138,84,55
Paddy,109,6,26,11,54,34
Gram,28,63,1,0,0,19
Soyabean,8,67,40,12,13,0
Mustard,74,29,37,6,11,3
Sugarcane,393,79,11,0,6,49
Arhar/Tur,8,68,8,12,12,32
Mustard,103,27,26,0,13,14
Paddy,59,8,34,61,52,26
Paddy,73,64,76,47,0,0
Soyabean,19,24,49,1,56,0
Groundnut,27,39,21,0,21,19
Mustard,59,30,40,21,10,0
Arhar/Tur,24,71,12,0,9,28
Potato,180,115,116,0,0,4
Mustard,45,36,30,35,4,10
Wheat,111,37,39,9,23,1
Groundnut,35,55,48,0,5,0
Paddy,129,83,24,0,0,36
Wheat,63,58,27,57,2,13
Groundnut,22,88,0,3,0,40
Soyabean,1,50,47,19,30,0
Soyabean,11,93,14,9,0,26
Gram,25,12,10,0,48,10
Mustard,2,7,45,78,33,0
Maize,223,34,1,0,41,49
Paddy,154,34,57,0,26,3
Cotton,62,32,80,58,28,0
Groundnut,2,74,2,23,0,38
Mustard,32,41,3,48,0,37
Sugarcane,49,105,7,226,0,53
Lentil,5,33,12,15,27,8
Arhar/Tur,4,26,20,16,54,20
Lentil,29,46,19,0,14,1
Potato,108,57,101,42,23,19
Maize,89,13,28,61,62,22
Wheat,64,80,6,56,0,34
Arhar/Tur,24,68,33,0,12,7
Lentil,17,13,28,3,47,0
Gram,19,8,25,1,52,0
Groundnut,1,14,36,24,46,4
Soyabean,11,103,37,9,0,3
Maize,144,84,26,6,0,24
Wheat,156,76,7,0,0,33
Arhar/Tur,27,38,16,0,42,24
Maize,182,81,64,0,0,0
Soyabean,1,9,41,19,71,0
Sugarcane,220,23,60,55,62,0
Potato,85,16,165,65,64,0
Sugarcane,337,54,50,0,31,10
Paddy,154,31,87,0,29,0
Paddy,121,51,10,0,9,50
Groundnut,9,65,5,16,0,35
Mustard,90,14,28,0,26,12
Maize,59,44,17,91,31,33
Wheat,112,12,54,8,48,0
Sugarcane,370,0,44,0,85,16
Lentil,2,61,7,18,0,13
Gram,14,80,25,6,0,0
Mustard,101,31,47,0,9,0
Mustard,13,23,27,67,17,13
Groundnut,8,69,56,17,0,0
Cotton,157,42,46,0,18,14
Maize,175,58,23,0,17,27
Arhar/Tur,5,58,38,15,22,2
Lentil,10,76,25,10,0,0
Maize,216,46,58,0,29,0
Soyabean,15,56,29,5,24,11
Groundnut,15,57,6,10,3,34
Arhar/Tur,22,7,36,0,73,4
Cotton,173,53,21,0,7,39
Lentil,23,52,23,0,8,0
Groundnut,20,72,56,5,0,0
Cotton,121,75,56,0,0,4
Paddy,5,74,63,115,0,0
Sugarcane,255,24,1,20,61,59
Mustard,113,46,19,0,0,21
Soyabean,5,70,46,15,10,0
Paddy,116,48,26,4,12,34
Paddy,86,73,8,34,0,52
Sugarcane,136,9,5,139,76,55
Groundnut,7,27,25,18,33,15
Lentil,18,17,24,2,43,0
Maize,184,67,6,0,8,44
Arhar/Tur,17,52,54,3,28,0
Groundnut,5,50,21,20,10,19
Paddy,93,13,22,27,47,38
Paddy,2,29,71,118,31,0
Cotton,123,45,46,0,15,14
Wheat,100,75,47,20,0,0
Cotton,35,22,56,85,38,4
Maize,7,77,17,143,0,33
Groundnut,6,18,33,19,42,7
Maize,26,104,66,124,0,0
Sugarcane,192,25,64,83,60,0
Gram,17,43,12,3,17,8
Arhar/Tur,6,89,50,14,0,0
Soyabean,26,78,6,0,2,34
Arhar/Tur,7,55,47,13,25,0
Mustard,30,37,0,50,3,40
Mustard,24,47,24,56,0,16
Arhar/Tur,10,78,1,10,2,39
Paddy,123,79,60,0,0,0
Groundnut,3,44,18,22,16,22
Sugarcane,122,93,81,153,0,0
Lentil,11,81,20,9,0,0
Groundnut,0,53,55,25,7,0
Wheat,44,53,2,76,7,38
Paddy,115,37,32,5,23,28
Cotton,13,37,33,107,23,27
Soyabean,12,25,59,8,55,0
Wheat,43,17,19,77,43,21
Potato,167,63,158,0,17,0
Lentil,21,55,3,0,5,17
Gram,10,30,8,10,30,12
Gram,22,82,3,0,0,17
Wheat,132,65,26,0,0,14
Potato,194,86,33,0,0,87
Lentil,22,13,3,0,47,17
Soyabean,21,56,25,0,24,15
Mustard,1,27,27,79,13,13
Arhar/Tur,11,37,18,9,43,22
Cotton,62,42,27,58,18,33
Sugarcane,325,92,87,0,0,0
Groundnut,14,4,5,11,56,35
Mustard,60,5,39,20,35,1
Paddy,148,59,80,0,1,0
Lentil,3,23,16,17,37,4
Soyabean,11,29,14,9,51,26
Groundnut,30,45,55,0,15,0
Paddy,130,36,82,0,24,0
Arhar/Tur,12,109,6,8,0,34
Lentil,23,77,18,0,0,2
Maize,84,9,1,66,66,49
Arhar/Tur,5,65,51,15,15,0
Lentil,26,26,17,0,34,3
Arhar/Tur,18,61,40,2,19,0
Maize,28,51,35,122,24,15
Wheat,157,14,54,0,46,0
Maize,160,63,13,0,12,37
Mustard,68,31,28,12,9,12
Maize,168,80,39,0,0,11
Gram,14,51,25,6,9,0
Paddy,33,41,78,87,19,0
Sugarcane,67,43,64,208,42,0
Cotton,112,36,77,8,24,0
Cotton,145,10,6,0,50,54
Maize,25,43,24,125,32,26
Paddy,96,4,56,24,56,4
Sugarcane,213,85,12,62,0,48
Groundnut,36,55,41,0,5,0
Soyabean,8,76,37,12,4,3
Cotton,78,63,31,42,0,29
Paddy,29,18,45,91,42,15
Wheat,59,54,20,61,6,20
Soyabean,7,86,8,13,0,32
Gram,27,60,28,0,0,0
Potato,106,39,52,44,41,68
Potato,223,32,74,0,48,46
Sugarcane,155,107,22,120,0,38
Lentil,21,33,19,0,27,1
Sugarcane,224,91,28,51,0,32
Paddy,3,67,15,117,0,45
Mustard,76,44,34,4,0,6
Gram,29,55,12,0,5,8
Wheat,143,27,30,0,33,10
Lentil,22,87,11,0,0,9
Gram,4,70,7,16,0,13
Potato,98,104,143,52,0,0
Lentil,27,74,5,0,0,15
Sugarcane,108,71,44,167,14,16
Wheat,135,19,27,0,41,13
Gram,17,58,22,3,2,0
Maize,152,35,30,0,40,20
Potato,9,87,119,141,0,1
Sugarcane,1,25,59,274,60,1
Maize,121,94,73,29,0,0
Gram,19,28,21,1,32,0
Potato,224,32,99,0,48,21
Lentil,1,36,22,19,24,0
Arhar/Tur,14,56,30,6,24,10
Potato,164,48,86,0,32,34
Wheat,123,31,25,0,29,15
Lentil,0,33,16,20,27,4
Groundnut,24,63,37,1,0,3
Gram,13,83,20,7,0,0
Groundnut,2,49,46,23,11,0
Sugarcane,223,52,77,52,33,0
Wheat,66,20,38,54,40,2
Mustard,20,55,39,60,0,1
Lentil,8,57,6,12,3,14
Groundnut,9,61,45,16,0,0
Sugarcane,187,81,26,88,4,34
Potato,127,19,133,23,61,0
Groundnut,17,28,41,8,32,0
Wheat,26,2,40,94,58,0
Arhar/Tur,19,100,37,1,0,3
Potato,152,102,46,0,0,74
Potato,187,40,116,0,40,4
Lentil,18,25,25,2,35,0
Groundnut,25,17,22,0,43,18
Groundnut,9,18,44,16,42,0
Potato,207,67,31,0,13,89
Sugarcane,398,110,27,0,0,33
Maize,84,70,71,66,5,0
Lentil,6,15,24,14,45,0
Paddy,1,28,79,119,32,0
Paddy,176,80,17,0,0,43
Arhar/Tur,3,63,20,17,17,20
Wheat,1,14,52,119,46,0
Maize,24,66,31,126,9,19
Groundnut,5,40,27,20,20,13
Arhar/Tur,27,49,51,0,31,0
Groundnut,27,74,46,0,0,0
Maize,36,66,0,114,9,50
Sugarcane,368,109,52,0,0,8
Mustard,50,47,26,30,0,14
Lentil,10,56,4,10,4,16
Wheat,95,8,36,25,52,4
Wheat,167,51,22,0,9,18
Groundnut,1,52,13,24,8,27
Arhar/Tur,20,93,52,0,0,0
Mustard,51,32,38,29,8,2
Soyabean,23,112,30,0,0,10
Lentil,20,34,27,0,26,0
Wheat,132,24,41,0,36,0
Mustard,55,37,14,25,3,26
Wheat,47,56,6,73,4,34
Arhar/Tur,4,17,14,16,63,26
Lentil,24,40,3,0,20,17
Lentil,22,10,7,0,50,13
Potato,96,69,110,54,11,10
Arhar/Tur,18,47,2,2,33,38
Arhar/Tur,26,3,34,0,77,6
Maize,63,30,67,87,45,0
Soyabean,1,52,58,19,28,0
Soyabean,19,77,7,1,3,33
Arhar/Tur,16,107,22,4,0,18
Paddy,76,42,3,44,18,57
Sugarcane,90,23,43,185,62,17
Wheat,170,24,44,0,36,0
Sugarcane,97,13,40,178,72,20
Potato,35,111,80,115,0,40
Maize,197,48,37,0,27,13
Groundnut,13,54,24,12,6,16
Paddy,19,47,64,101,13,0
Cotton,177,84,24,0,0,36
Soyabean,8,22,32,12,58,8
Groundnut,34,34,19,0,26,21
Cotton,176,1,42,0,59,18
Arhar/Tur,29,70,17,0,10,23
Soyabean,27,40,0,0,40,40
Wheat,70,70,0,50,0,40
Soyabean,10,44,54,10,36,0
Soyabean,29,113,30,0,0,10
Soyabean,1,104,14,19,0,26
Potato,33,2,177,117,78,0
Lentil,12,58,8,8,2,12
Gram,24,2,12,0,58,8
Paddy,175,20,32,0,40,28
Soyabean,19,100,46,1,0,0
Mustard,31,49,48,49,0,0
Gram,25,28,27,0,32,0
Sugarcane,371,58,85,0,27,0
Mustard,12,49,49,68,0,0
Groundnut,2,31,51,23,29,0
Sugarcane,18,95,24,257,0,36
Wheat,2,49,49,118,11,0
Mustard,55,15,42,25,25,0
Lentil,15,31,29,5,29,0
Arhar/Tur,5,11,8,15,69,32
Arhar/Tur,8,65,31,12,15,9
Mustard,8,6,34,72,34,6
Maize,152,69,47,0,6,3
Lentil,21,68,18,0,0,2
Mustard,7,45,4,73,0,36
Potato,70,106,12,80,0,108
Groundnut,0,88,19,25,0,21
Lentil,19,16,12,1,44,8
Soyabean,29,46,42,0,34,0
Paddy,151,2,67,0,58,0
Soyabean,6,112,54,14,0,0
Potato,206,107,164,0,0,0
Potato,15,57,147,135,23,0
Gram,22,57,19,0,3,1
Wheat,110,83,35,10,0,5
Cotton,79,53,57,41,7,3
Lentil,19,16,28,1,44,0
Maize,109,4,20,41,71,30
Groundnut,24,80,18,1,0,22
Cotton,12,50,51,108,10,9
Soyabean,24,108,57,0,0,0
Arhar/Tur,20,8,27,0,72,13
Sugarcane,101,66,60,174,19,0
Sugarcane,257,51,58,18,34,2
Gram,3,73,11,17,0,9
Gram,11,73,24,9,0,0
Paddy,165,81,7,0,0,53
Groundnut,5,34,8,20,26,32
Arhar/Tur,17,53,57,3,27,0
Paddy,146,40,62,0,20,0
Wheat,41,6,13,79,54,27
Potato,128,69,93,22,11,27
Lentil,6,84,16,14,0,4
Maize,73,70,14,77,5,36
Potato,158,2,117,0,78,3
Lentil,2,23,1,18,37,19
Groundnut,15,24,13,10,36,27
Paddy,27,85,11,93,0,49
Maize,2,106,22,148,0,28
Groundnut,9,48,20,16,12,20
Paddy,46,42,9,74,18,51
Paddy,177,20,67,0,40,0
Maize,196,35,42,0,40,8
Groundnut,9,37,30,16,23,10
Soyabean,25,89,27,0,0,13
Sugarcane,249,111,3,26,0,57
Soyabean,19,47,8,1,33,32
Maize,138,98,49,12,0,1
Paddy,120,47,47,0,13,13
Groundnut,28,16,12,0,44,28
Cotton,11,49,74,109,11,0
Potato,70,15,71,80,65,49
Gram,9,42,0,11,18,20
Paddy,148,4,38,0,56,22
Maize,198,6,62,0,69,0
Gram,17,21,17,3,39,3
Sugarcane,300,1,26,0,84,34
Mustard,64,18,0,16,22,40
Wheat,12,37,15,108,23,25
Soyabean,12,44,7,8,36,33
Wheat,17,70,14,103,0,26
Paddy,22,24,40,98,36,20
Cotton,17,14,81,103,46,0
Wheat,176,35,20,0,25,20
Cotton,117,19,29,3,41,31
Sugarcane,216,94,52,59,0,8
Groundnut,27,29,32,0,31,8
Mustard,117,20,54,0,20,0
Groundnut,2,62,5,23,0,35
Lentil,29,77,29,0,0,0
Wheat,40,55,35,80,5,5
Cotton,129,58,37,0,2,23
Mustard,111,25,18,0,15,22
Sugarcane,59,26,54,216,59,6
Wheat,16,78,0,104,0,40
Soyabean,29,104,43,0,0,0
Lentil,5,77,15,15,0,5
Soyabean,7,97,43,13,0,0
Soyabean,29,119,34,0,0,6
Gram,28,13,0,0,47,20
Cotton,83,73,6,37,0,54
Cotton,146,22,40,0,38,20
Maize,2,38,14,148,37,36
Lentil,13,39,24,7,21,0
Gram,22,46,13,0,14,7
Gram,5,18,0,15,42,20
Cotton,76,60,23,44,0,37
Gram,15,39,14,5,21,6
Potato,68,49,22,82,31,98
Gram,10,46,7,10,14,13
Maize,162,0,66,0,75,0
Soyabean,0,92,5,20,0,35
Paddy,88,73,88,32,0,0
Wheat,6,0,47,114,60,0
Mustard,118,34,20,0,6,20
Maize,22,16,65,128,59,0
Arhar/Tur,25,48,2,0,32,38
Maize,34,68,26,116,7,24
Wheat,152,31,55,0,29,0
Mustard,17,16,7,63,24,33
Arhar/Tur,23,22,19,0,58,21
Lentil,17,86,7,3,0,13
Potato,164,119,75,0,0,45
Maize,215,83,56,0,0,0
Paddy,30,87,52,90,0,8
Arhar/Tur,11,96,30,9,0,10
Groundnut,17,68,44,8,0,0
Potato,41,117,2,109,0,118
Mustard,28,47,9,52,0,31
Sugarcane,138,115,20,137,0,40
Groundnut,10,83,27,15,0,13
Mustard,90,33,44,0,7,0
Groundnut,29,69,15,0,0,25
Wheat,86,32,55,34,28,0
Arhar/Tur,0,90,10,20,0,30
Sugarcane,53,39,81,222,46,0
Groundnut,0,0,17,25,60,23
Groundnut,6,69,2,19,0,38
Soyabean,3,92,46,17,0,0
Paddy,144,60,53,0,0,7
Mustard,83,59,21,0,0,19
Mustard,5,0,8,75,40,32
Cotton,79,19,30,41,41,30
Maize,95,35,31,55,40,19
Wheat,40,56,21,80,4,19
Gram,24,88,20,0,0,0
Lentil,13,15,25,7,45,0
Lentil,28,22,12,0,38,8
Soyabean,10,56,47,10,24,0
Potato,38,96,140,112,0,0
Maize,135,26,24,15,49,26
Lentil,5,39,7,15,21,13
Maize,18,76,6,132,0,44
Lentil,16,76,15,4,0,5
Wheat,60,23,40,60,37,0
Gram,9,36,7,11,24,13
Paddy,24,38,48,96,22,12
Paddy,162,24,57,0,36,3
Wheat,70,30,4,50,30,36
Cotton,168,73,81,0,0,0
Cotton,67,20,25,53,40,35
Wheat,36,60,29,84,0,11
Maize,63,70,63,87,5,0
Cotton,179,87,47,0,0,13
Maize,187,69,49,0,6,1
Soyabean,15,13,59,5,67,0
Lentil,22,64,27,0,0,0
Arhar/Tur,15,104,18,5,0,22
Wheat,2,64,22,118,0,18
Groundnut,23,32,32,2,28,8
Arhar/Tur,14,93,45,6,0,0
Gram,26,15,12,0,45,8
Potato,40,78,58,110,2,62
Sugarcane,344,110,33,0,0,27
Lentil,11,16,0,9,44,20
Cotton,4,31,55,116,29,5
Soyabean,24,20,20,0,60,20
Maize,219,50,29,0,25,21
Potato,111,50,162,39,30,0
Maize,209,16,4,0,59,46
Soyabean,28,34,37,0,46,3
Paddy,105,3,7,15,57,53
Potato,211,91,75,0,0,45
Wheat,159,9,2,0,51,38
Potato,193,91,100,0,0,20
Arhar/Tur,20,31,51,0,49,0
Paddy,140,69,71,0,0,0
Arhar/Tur,18,115,8,2,0,32
Arhar/Tur,14,41,14,6,39,26
Potato,122,103,99,28,0,21
Soyabean,27,21,55,0,59,0
Potato,128,48,47,22,32,73
Maize,20,109,62,130,0,0
Wheat,73,30,31,47,30,9
Gram,12,85,7,8,0,13
Gram,6,25,19,14,35,1
Potato,203,46,110,0,34,10
Mustard,13,46,16,67,0,24
Sugarcane,410,72,81,0,13,0
Potato,133,100,96,17,0,24
Gram,0,70,8,20,0,12
Maize,26,13,21,124,62,29
Groundnut,33,27,25,0,33,15
Paddy,17,73,18,103,0,42
Cotton,13,75,52,107,0,8
Potato,94,19,175,56,61,0
Potato,101,30,66,49,50,54
Wheat,4,59,26,116,1,14
Paddy,26,27,20,94,33,40
Wheat,97,9,15,23,51,25
Lentil,21,63,15,0,0,5
Lentil,24,69,29,0,0,0
Gram,12,57,26,8,3,0
Potato,124,24,104,26,56,16
Groundnut,8,71,31,17,0,9
Arhar/Tur,22,8,9,0,72,31
Cotton,42,19,18,78,41,42
Arhar/Tur,21,94,2,0,0,38
Maize,55,23,49,95,52,1
Maize,130,84,49,20,0,1
Arhar/Tur,28,110,53,0,0,0
Lentil,28,2,6,0,58,14
Wheat,176,53,42,0,7,0
Paddy,171,42,45,0,18,15
Sugarcane,39,101,48,236,0,12
Lentil,4,87,9,16,0,11
Soyabean,13,14,27,7,66,13
Lentil,17,12,17,3,48,3
Mustard,30,22,54,50,18,0
Wheat,67,45,28,53,15,12
Sugarcane,394,124,39,0,0,21
Maize,102,43,12,48,32,38
Maize,29,3,19,121,72,31
Paddy,130,18,75,0,42,0
Gram,18,77,13,2,0,7
Potato,117,7,64,33,73,56
Sugarcane,397,85,39,0,0,21
Cotton,166,54,80,0,6,0
Groundnut,16,37,37,9,23,3
Lentil,17,35,4,3,25,16
Gram,5,22,16,15,38,4
Potato,61,102,121,89,0,0
Cotton,62,29,89,58,31,0
Groundnut,16,52,24,9,8,16
Groundnut,27,37,13,0,23,27
Gram,1,61,4,19,0,16
Potato,12,29,57,138,51,63
Groundnut,33,5,16,0,55,24
Wheat,6,86,0,114,0,40
Mustard,59,27,12,21,13,28
Sugarcane,140,108,61,135,0,0
Cotton,170,79,59,0,0,1
Gram,3,41,20,17,19,0
Wheat,132,43,36,0,17,4
Sugarcane,144,60,60,131,25,0
Potato,182,26,12,0,54,108
Maize,157,82,3,0,0,47
Gram,21,9,6,0,51,14
Mustard,77,28,54,3,12,0
Paddy,29,41,76,91,19,0
Cotton,40,74,16,80,0,44
Mustard,33,52,50,47,0,0
Arhar/Tur,4,76,33,16,4,7
Soyabean,16,55,18,4,25,22
Potato,7,5,66,143,75,54
Cotton,12,79,29,108,0,31
Lentil,23,9,28,0,51,0
Gram,15,76,28,5,0,0
Soyabean,16,116,36,4,0,4
Soyabean,3,69,49,17,11,0
Paddy,16,65,64,104,0,0
Paddy,86,44,60,34,16,0
Groundnut,14,88,26,11,0,14
Arhar/Tur,29,46,21,0,34,19
Maize,16,91,58,134,0,0
Soyabean,20,105,41,0,0,0
Mustard,44,40,23,36,0,17
Maize,38,24,4,112,51,46
Sugarcane,48,110,8,227,0,52
Paddy,114,67,15,6,0,45
Arhar/Tur,5,32,41,15,48,0
Lentil,21,0,14,0,60,6
Gram,4,73,16,16,0,4
Potato,136,26,55,14,54,65
Maize,61,83,42,89,0,8
Mustard,73,31,52,7,9,0
Maize,92,96,73,58,0,0
Maize,191,27,61,0,48,0
Groundnut,31,86,55,0,0,0
Potato,12,109,17,138,0,103
Arhar/Tur,7,106,51,13,0,0
Arhar/Tur,29,12,43,0,68,0
Sugarcane,398,21,66,0,64,0
Potato,84,26,133,66,54,0
Wheat,99,13,46,21,47,0
Potato,166,65,134,0,15,0
Wheat,147,41,9,0,19,31
Wheat,22,35,43,98,25,0
Groundnut,20,58,36,5,2,4
Groundnut,18,45,34,7,15,6
Mustard,52,3,53,28,37,0
Wheat,41,72,14,79,0,26
Arhar/Tur,12,62,0,8,18,40
Potato,92,119,92,58,0,28
Arhar/Tur,7,69,55,13,11,0
Lentil,29,16,20,0,44,0
Soyabean,21,23,59,0,57,0
Gram,1,10,23,19,50,0
Sugarcane,209,114,86,66,0,0
Groundnut,12,50,1,13,10,39
Paddy,158,12,86,0,48,0
Groundnut,31,55,36,0,5,4
Gram,20,25,29,0,35,0
Gram,5,89,0,15,0,20
Maize,163,84,50,0,0,0
Wheat,90,19,17,30,41,23
Wheat,63,51,31,57,9,9
Cotton,19,69,7,101,0,53
Sugarcane,293,94,33,0,0,27
Groundnut,22,83,42,3,0,0
Soyabean,29,6,24,0,74,16
Maize,83,14,18,67,61,32
Paddy,107,8,64,13,52,0
Cotton,13,47,72,107,13,0
Arhar/Tur,4,66,2,16,14,38
Arhar/Tur,22,20,9,0,60,31
Lentil,28,56,6,0,4,14
Sugarcane,379,124,27,0,0,33
Paddy,168,70,10,0,0,50
Maize,162,21,13,0,54,37
Paddy,163,68,44,0,0,16
Wheat,110,23,34,10,37,6
Mustard,80,7,52,0,33,0
Groundnut,32,82,31,0,0,9
Mustard,34,49,40,46,0,0
Cotton,81,1,31,39,59,29
Groundnut,3,5,13,22,55,27
Maize,21,69,24,129,6,26
Lentil,24,60,15,0,0,5
Cotton,94,70,13,26,0,47
Arhar/Tur,10,0,22,10,80,18
Potato,223,96,44,0,0,76
Paddy,93,56,1,27,4,59
Cotton,119,10,16,1,50,44
Soyabean,17,84,18,3,0,22
Gram,13,37,11,7,23,9
Soyabean,8,88,12,12,0,28
Soyabean,18,108,18,2,0,22
Lentil,20,24,7,0,36,13
Arhar/Tur,12,35,41,8,45,0
Wheat,170,48,38,0,12,2
Potato,59,116,130,91,0,0
Paddy,132,22,8,0,38,52
Lentil,18,15,9,2,45,11
Lentil,28,21,17,0,39,3
Sugarcane,305,42,84,0,43,0
Mustard,95,28,57,0,12,0
Lentil,17,67,18,3,0,2
Wheat,31,37,14,89,23,26
Soyabean,25,43,16,0,37,24
Groundnut,36,4,18,0,56,22
Potato,46,31,116,104,49,4
Cotton,176,1,30,0,59,30
Cotton,131,70,27,0,0,33
Lentil,28,65,20,0,0,0
Mustard,104,21,46,0,19,0
Arhar/Tur,6,41,17,14,39,23
Sugarcane,24,3,66,251,82,0
Lentil,13,19,0,7,41,20
Mustard,5,20,39,75,20,1
Gram,3,52,3,17,8,17
Potato,73,8,172,77,72,0
Gram,9,30,22,11,30,0
Groundnut,33,45,49,0,15,0
Groundnut,5,55,36,20,5,4
Lentil,24,21,1,0,39,19
Paddy,33,56,49,87,4,11
Groundnut,6,87,32,19,0,8
Sugarcane,269,125,6,6,0,54
Soyabean,24,94,6,0,0,34
Maize,159,69,34,0,6,16
Lentil,9,45,12,11,15,8
Sugarcane,178,23,18,97,62,42
Groundnut,10,26,36,15,34,4
Groundnut,32,61,29,0,0,11
Sugarcane,123,22,14,152,63,46
Groundnut,20,89,59,5,0,0
Wheat,1,5,58,119,55,0
Groundnut,26,76,56,0,0,0
Sugarcane,32,122,70,243,0,0
Cotton,111,63,77,9,0,0
Cotton,130,41,29,0,19,31
Groundnut,35,50,58,0,10,0
Cotton,108,54,71,12,6,0
Sugarcane,371,49,65,0,36,0
Cotton,124,26,23,0,34,37
Mustard,94,35,28,0,5,12
Sugarcane,323,53,47,0,32,13
Wheat,167,4,39,0,56,1
Sugarcane,165,47,58,110,38,2
Sugarcane,319,35,84,0,50,0
Wheat,104,89,29,16,0,11
Paddy,67,88,19,53,0,41
Sugarcane,64,116,15,211,0,45
Groundnut,0,80,40,25,0,0
Mustard,94,0,26,0,40,14
Mustard,25,57,15,55,0,25
Lentil,11,39,23,9,21,0
Arhar/Tur,2,13,53,18,67,0
Potato,29,81,65,121,0,55
Mustard,80,12,56,0,28,0
Sugarcane,13,68,54,262,17,6
Soyabean,1,112,11,19,0,29
Groundnut,19,49,32,6,11,8
Soyabean,2,80,41,18,0,0
Paddy,48,49,73,72,11,0
Paddy,36,35,12,84,25,48
Sugarcane,138,17,79,137,68,0
